iter	Quantile:alpha=0.5
358	0.3663752161
359	0.3660407302
360	0.36563548
361	0.3653448933
362	0.365285404
363	0.3650841294
364	0.3644967509
365	0.3643137775
366	0.3642692802
367	0.3640792946
368	0.3639267028
369	0.3637581093
370	0.3635041595
371	0.363194203
372	0.3631030917
373	0.3629353655
374	0.3628475894
375	0.3626513591
376	0.3624880041
377	0.3623425557
378	0.362233085
379	0.362040277
380	0.361893637
381	0.3616719428
382	0.3615089138
383	0.3613615898
384	0.361237083
385	0.3610152722
386	0.3607698338
387	0.3606547248
388	0.3605121417
389	0.3603017983
390	0.3602646988
391	0.3601680748
392	0.3601098816
393	0.3597983655
394	0.3596587619
395	0.3595212509
396	0.3594077692
397	0.3592861473
398	0.3591871567
399	0.3590344422
